[2025-04-10 13:49:43,491] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:43,492] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:49:43,516] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:49:43,518] - [MQTT][INFO] - Published
[2025-04-10 13:49:45,366] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:45,943] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:46,116] - [MQTT][INFO]Created Mission→Feedback relation for 1
[2025-04-10 13:49:46,118] - [MQTT][INFO] - Published
[2025-04-10 13:49:46,119] - [MQTT][INFO]Created feedback device Feedback 1.2
[2025-04-10 13:49:46,121] - [MQTT][INFO] - Published
[2025-04-10 13:49:46,123] - [MQTT][INFO] - Published
[2025-04-10 13:49:46,125] - [MQTT][INFO] - Published
[2025-04-10 13:49:46,127] - [MQTT][INFO] - Published
[2025-04-10 13:49:46,128] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:49:46,129] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:49:46,835] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:49:46,837] - [MQTT][INFO] - Published
[2025-04-10 13:49:49,185] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:49,187] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:49:49,897] - [MQTT][INFO] - Published
[2025-04-10 13:49:53,279] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:53,280] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:49:53,304] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:49:53,306] - [MQTT][INFO] - Published
[2025-04-10 13:49:55,926] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:55,928] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:49:55,949] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:49:55,951] - [MQTT][INFO] - Published
[2025-04-10 13:49:59,175] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:59,176] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:49:59,181] - [MQTT][INFO] - Published
[2025-04-10 13:50:03,303] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:50:03,305] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:50:03,326] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:50:03,329] - [MQTT][INFO] - Published
[2025-04-10 13:50:06,120] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:50:06,122] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:50:06,148] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:50:06,150] - [MQTT][INFO] - Published
[2025-04-10 13:50:06,284] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:50:07,059] - [MQTT][INFO]Created Mission→Feedback relation for 1
[2025-04-10 13:50:07,061] - [MQTT][INFO] - Published
[2025-04-10 13:50:07,063] - [MQTT][INFO]Created feedback device Feedback 1.3
[2025-04-10 13:50:07,066] - [MQTT][INFO] - Published
[2025-04-10 13:50:07,068] - [MQTT][INFO] - Published
[2025-04-10 13:50:07,071] - [MQTT][INFO] - Published
[2025-04-10 13:50:07,073] - [MQTT][INFO] - Published
[2025-04-10 13:50:07,074] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:50:09,176] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:50:09,178] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:50:09,181] - [MQTT][INFO] - Published
