[2025-07-30 14:53:14,330][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:53:14,330][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:53:14,338][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:53:14,338][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:53:14,338][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:58:40,814][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 14:58:45,103][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:58:45,103][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:58:45,107][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:58:45,107][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:58:45,115][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:58:45,115][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 15:00:25,658][REST][INFO][REST Server] - Received Mission
[2025-07-30 15:00:25,658][REST][INFO][REST Server] - Received Mission
[2025-07-30 15:00:25,658][REST][INFO][REST Server] - Received Mission
[2025-07-30 15:00:25,661][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 15:00:25,661][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 15:00:25,661][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 15:00:25,668][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 15:00:25,668][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 15:00:25,668][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 18:50:22,965][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 18:50:27,535][REST][INFO][REST Server] - Received Mission
[2025-07-30 18:50:27,535][REST][INFO][REST Server] - Received Mission
[2025-07-30 18:50:27,538][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 18:50:27,538][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 18:50:27,545][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 18:50:27,545][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 18:55:38,349][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 18:55:43,682][REST][INFO][REST Server] - Received Mission
[2025-07-30 18:55:43,682][REST][INFO][REST Server] - Received Mission
[2025-07-30 18:55:43,685][REST][INFO][gRPC REST] - Sending mission to Fleet Management
