[2026-03-12 12:44:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:43,171][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:43,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:44:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:53,209][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:53,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:45:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:45:03,247][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:45:03,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:45:12,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:45:13,283][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:45:13,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:45:22,474][Drone 3][INFO][State Vector] - State Vector sent
